order_id,order_date,ship_date,ship_mode,customer_id,segment,city,region,category,sub_category,quantity,unit_price,discount,sales,profit
ORD-0001,2023-10-17,2023-10-22,Standard Class,CUST-024,Home Office,Cebu,Mindanao,Furniture,Shelves,8,1154.89,0.2,7391.3,596.84
ORD-0002,2023-03-09,2023-03-14,Standard Class,CUST-023,Home Office,Bacolod,Visayas,Office Supplies,Binders,8,2551.51,0.0,20412.08,4457.46
ORD-0003,2022-08-14,2022-08-14,Same Day,CUST-025,Corporate,Cebu,Luzon,Office Supplies,Binders,14,1734.24,0.0,24279.36,2782.27
ORD-0004,2023-01-25,2023-01-31,Standard Class,CUST-030,Corporate,Cebu,Mindanao,Technology,Accessories,2,3662.17,0.15,6225.69,544.42
ORD-0005,2022-10-28,2022-10-29,First Class,CUST-003,Consumer,Cebu,Visayas,Furniture,Chairs,2,3323.25,0.3,4652.55,636.55
ORD-0006,2022-10-12,2022-10-12,Same Day,CUST-022,Home Office,Cebu,Mindanao,Office Supplies,Pens,12,1087.06,0.0,13044.72,3398.75
ORD-0007,2023-10-13,2023-10-16,Second Class,CUST-008,Home Office,Iloilo,Luzon,Office Supplies,Envelopes,13,1386.24,0.2,14416.9,3697.19
ORD-0008,2022-08-23,2022-08-29,Standard Class,CUST-011,Consumer,Zamboanga,Visayas,Technology,Accessories,3,1094.37,0.15,2790.64,873.22
ORD-0009,2023-10-21,2023-10-21,Same Day,CUST-019,Corporate,Baguio,Visayas,Technology,Laptops,8,3737.7,0.15,25416.36,3274.2
ORD-0010,2023-01-06,2023-01-09,Second Class,CUST-021,Consumer,Cagayan de Oro,Mindanao,Furniture,Cabinets,3,3791.12,0.3,7961.35,659.95
ORD-0011,2022-03-07,2022-03-07,Same Day,CUST-001,Home Office,Cebu,Mindanao,Furniture,Cabinets,17,1294.5,0.15,18705.52,5765.68
ORD-0012,2023-07-04,2023-07-06,First Class,CUST-029,Home Office,Makati,Mindanao,Office Supplies,Pens,14,832.88,0.0,11660.32,3919.56
ORD-0013,2022-07-02,2022-07-09,Standard Class,CUST-025,Home Office,Manila,Mindanao,Technology,Laptops,5,1900.87,0.0,9504.35,2013.15
ORD-0014,2022-11-28,2022-11-28,Same Day,CUST-003,Consumer,Zamboanga,Luzon,Office Supplies,Pens,10,1235.29,0.0,12352.9,3871.43
ORD-0015,2023-06-30,2023-07-03,Second Class,CUST-014,Consumer,Bacolod,Mindanao,Furniture,Cabinets,18,867.38,0.15,13270.91,4136.94
ORD-0016,2023-12-08,2023-12-12,Second Class,CUST-008,Consumer,Iloilo,Luzon,Technology,Accessories,15,4503.09,0.1,60791.72,5246.4
ORD-0017,2023-08-26,2023-08-29,Second Class,CUST-003,Home Office,Quezon City,Visayas,Office Supplies,Paper,2,1183.26,0.0,2366.52,728.63
ORD-0018,2023-11-17,2023-11-17,Same Day,CUST-026,Corporate,Quezon City,Luzon,Furniture,Tables,19,2902.25,0.0,55142.75,15736.96
ORD-0019,2022-04-10,2022-04-10,Same Day,CUST-021,Consumer,Manila,Visayas,Technology,Printers,15,4325.99,0.0,64889.85,16352.85
ORD-0020,2022-12-14,2022-12-19,Standard Class,CUST-015,Consumer,Cebu,Visayas,Office Supplies,Binders,18,2270.64,0.1,36784.37,3864.07
ORD-0021,2023-07-18,2023-07-23,Standard Class,CUST-014,Corporate,Zamboanga,Luzon,Furniture,Chairs,3,4635.52,0.3,9734.59,1177.05
ORD-0022,2023-02-15,2023-02-20,Standard Class,CUST-010,Corporate,Bacolod,Mindanao,Technology,Phones,13,1362.76,0.3,12401.12,3541.0
ORD-0023,2023-05-14,2023-05-17,Second Class,CUST-011,Consumer,Manila,Mindanao,Technology,Laptops,2,2916.94,0.15,4958.8,338.62
ORD-0024,2023-05-04,2023-05-07,Second Class,CUST-008,Corporate,Cebu,Mindanao,Furniture,Chairs,6,389.18,0.0,2335.08,589.76
ORD-0025,2022-09-10,2022-09-17,Standard Class,CUST-007,Home Office,Iloilo,Luzon,Office Supplies,Envelopes,19,2847.87,0.0,54109.53,17878.43
ORD-0026,2022-09-29,2022-09-29,Same Day,CUST-001,Corporate,Baguio,Mindanao,Furniture,Shelves,15,1615.08,0.3,16958.34,5608.47
ORD-0027,2022-04-13,2022-04-20,Standard Class,CUST-012,Corporate,Davao,Visayas,Office Supplies,Pens,5,4669.63,0.0,23348.15,7326.21
ORD-0028,2023-07-11,2023-07-12,First Class,CUST-029,Consumer,Bacolod,Luzon,Furniture,Shelves,4,4697.7,0.0,18790.8,2430.4
ORD-0029,2022-10-06,2022-10-07,First Class,CUST-016,Corporate,Manila,Luzon,Furniture,Shelves,7,3453.11,0.3,16920.24,2186.01
ORD-0030,2023-10-12,2023-10-12,Same Day,CUST-006,Home Office,Zamboanga,Mindanao,Office Supplies,Paper,11,3867.04,0.2,34029.95,11704.24
ORD-0031,2023-12-24,2023-12-24,Same Day,CUST-018,Consumer,Cagayan de Oro,Luzon,Office Supplies,Paper,5,2750.67,0.3,9627.34,1547.74
ORD-0032,2022-02-12,2022-02-14,First Class,CUST-025,Home Office,Cagayan de Oro,Mindanao,Office Supplies,Pens,7,3426.23,0.2,19186.89,1551.03
ORD-0033,2022-06-08,2022-06-11,Second Class,CUST-014,Home Office,Quezon City,Visayas,Office Supplies,Envelopes,1,937.84,0.0,937.84,267.02
ORD-0034,2022-06-13,2022-06-19,Standard Class,CUST-027,Consumer,Quezon City,Luzon,Office Supplies,Envelopes,8,1037.89,0.1,7472.81,1157.52
ORD-0035,2023-11-07,2023-11-11,Second Class,CUST-017,Corporate,Bacolod,Visayas,Technology,Accessories,3,4836.1,0.0,14508.3,2253.78
ORD-0036,2022-01-29,2022-02-04,Standard Class,CUST-026,Corporate,Cagayan de Oro,Mindanao,Office Supplies,Pens,2,586.59,0.1,1055.86,162.29
ORD-0037,2023-06-08,2023-06-14,Standard Class,CUST-030,Home Office,Quezon City,Visayas,Furniture,Tables,9,269.71,0.1,2184.65,110.34
ORD-0038,2023-03-18,2023-03-25,Standard Class,CUST-022,Corporate,Iloilo,Visayas,Technology,Accessories,4,3612.78,0.0,14451.12,2921.1
